"dbID";"planeID";"ADSHEX";"longitude";"latitude";"altitude";"radarID";"aircraft";"departing";"destination";"dateTime"
1;"8e2c9fe";"";38.3047;-93.3679;39000.0;"T-MLAT2";"H25C";"";"";"2016-02-22 14:21:24"
2;"8e2eda1";"A15703";-9.6031;-53.4086;38000.0;"F-SNFJ1";"B752";"BSB";"MIA";"2016-02-22 14:21:24"
3;"8e2b615";"";42.8448;-83.0257;39000.0;"T-MLAT2";"G150";"";"";"2016-02-22 14:21:24"
4;"8e3013e";"76D03A";-4.9254;111.1572;38000.0;"F-WIIS3";"A320";"SUB";"SIN";"2016-02-22 14:21:24"
5;"8e2d872";"71003D";24.6921;65.809;37000.0;"F-OPKC2";"B772";"RUH";"DAC";"2016-02-22 14:21:24"
6;"8e23a85";"";48.9492;-132.0556;41000.0;"F-CAL91";"FA7X";"";"";"2016-02-22 14:21:24"
7;"8e2ee26";"A3B09A";35.0909;-78.7581;37000.0;"T-MLAT2";"E190";"FLL";"DCA";"2016-02-22 14:21:24"
8;"8e2d47b";"4BAA0E";35.8433;44.0275;37000.0;"F-ORER4";"A320";"IST";"BSR";"2016-02-22 14:21:24"
9;"8e2c58a";"42424E";56.1208;48.5665;38000.0;"F-USII1";"B738";"OVB";"DME";"2016-02-22 14:21:24"
10;"8e2f9bc";"AACC3D";30.6936;-78.2626;37000.0;"T-F5M";"B737";"FLL";"ISP";"2016-02-22 14:21:24"
11;"8e1f6c9";"7806E2";52.9409;22.7967;38000.0;"F-UMBB3";"A333";"CKG";"FCO";"2016-02-22 14:21:24"
12;"8e2f9ba";"C02202";33.8343;-81.0562;37000.0;"F-KSPA1";"B763";"MCO";"YYZ";"2016-02-22 14:21:24"
13;"8e2d589";"8880C7";28.1495;128.1642;38000.0;"F-RJKI1";"A332";"KIX";"SGN";"2016-02-22 14:21:24"
14;"8e2d87f";"C078B2";33.2674;-96.4717;38000.0;"F-KGVT1";"A332";"CUN";"YVR";"2016-02-22 14:21:24"
